compartment	marker_genes	use	caution
VCT	TP63	Villous cytotrophoblast identity	May vary by gestational age
VCT	PAGE4	Villous cytotrophoblast identity	May vary by gestational age
VCT	TEAD4	Villous cytotrophoblast identity	May vary by gestational age
SCT	CGA	Syncytiotrophoblast programme	Ambient RNA may affect trophoblast hormones
SCT	CGB3	Syncytiotrophoblast programme	Ambient RNA may affect trophoblast hormones
SCT	CSH1	Syncytiotrophoblast programme	Ambient RNA may affect trophoblast hormones
SCT	PSG1	Syncytiotrophoblast programme	Ambient RNA may affect trophoblast hormones
SCT	ERVW-1	Syncytiotrophoblast programme	Ambient RNA may affect trophoblast hormones
Decidual_stromal	PRL	Decidualization and stromal remodelling programmes	Separate identity from ECM activation
Decidual_stromal	IGFBP1	Decidualization and stromal remodelling programmes	Separate identity from ECM activation
Decidual_stromal	DCN	Decidualization and stromal remodelling programmes	Separate identity from ECM activation
Decidual_stromal	COL1A1	Decidualization and stromal remodelling programmes	Separate identity from ECM activation
Decidual_stromal	HOXA10	Decidualization and stromal remodelling programmes	Separate identity from ECM activation
Decidual_stromal	WNT4	Decidualization and stromal remodelling programmes	Separate identity from ECM activation
Endothelial	PECAM1	Vascular niche programme	Blood contamination and vascular sampling should be considered
Endothelial	VWF	Vascular niche programme	Blood contamination and vascular sampling should be considered
Endothelial	KDR	Vascular niche programme	Blood contamination and vascular sampling should be considered
Endothelial	ENG	Vascular niche programme	Blood contamination and vascular sampling should be considered
Endothelial	ESAM	Vascular niche programme	Blood contamination and vascular sampling should be considered
Epithelial_glandular	EPCAM	Glandular/epithelial programme	May overlap with trophoblast epithelial markers
Epithelial_glandular	KRT18	Glandular/epithelial programme	May overlap with trophoblast epithelial markers
Epithelial_glandular	MUC1	Glandular/epithelial programme	May overlap with trophoblast epithelial markers
Epithelial_glandular	PAEP	Glandular/epithelial programme	May overlap with trophoblast epithelial markers
Epithelial_glandular	SPP1	Glandular/epithelial programme	May overlap with trophoblast epithelial markers
Perivascular	RGS5	Perivascular/vascular-remodelling programme	Sparse compartments require broad labels
Perivascular	ACTA2	Perivascular/vascular-remodelling programme	Sparse compartments require broad labels
Perivascular	MCAM	Perivascular/vascular-remodelling programme	Sparse compartments require broad labels
Perivascular	PDGFRB	Perivascular/vascular-remodelling programme	Sparse compartments require broad labels
Perivascular	MYH11	Perivascular/vascular-remodelling programme	Sparse compartments require broad labels
